Código comarca,Comarca,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0,2014.0,2013.0,2012.0,2011.0,2010.0,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0
48020,Bilbao,2.15,3.19,3.19,3.19,0.7,0.7,0.7,0.7,0.0,0.0,6.75,6.75,6.75,6.75,6.9,6.95,6.94,10.59,11.13
48021,Busturia,10.75,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.95,10.8,10.8,10.92,10.92,10.92,10.92,10.92,8.59,8.8
01017,Campezo/Kanpezu,40.51,40.51,40.51,40.51,40.51,40.51,41.59,41.59,41.59,41.19,44.98,44.98,44.98,44.98,44.98,44.98,44.98,44.98,44.98
20029,Deba,0.0,0.0,0.0,0.0,0.0,0.0,6.19,6.19,6.19,6.62,6.57,6.57,6.57,6.57,6.57,0.0,0.0,0.0,0.0
48901,Derio,73.67,75.47,75.47,75.47,75.47,75.47,75.47,75.47,75.47,73.89,82.24,82.24,82.14,82.14,82.14,82.14,82.14,82.29,83.97
48026,Dima,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.83,21.79,21.79,21.79,14.57,14.57,4.59,4.59,4.7,47.73
20069,Donostia / San Sebastián,11.39,14.77,14.84,14.84,14.84,14.84,16.37,16.43,19.19,19.38,20.82,20.82,22.33,22.33,18.53,20.64,20.66,20.66,20.72
48027,Durango,7.12,7.1,7.13,7.21,10.99,10.99,14.89,14.89,14.89,15.6,8.69,8.8,8.8,8.8,12.63,12.63,12.63,17.15,17.15
48028,Ea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,6.88,7.01,12.4,12.4,12.5,12.5,12.5,12.4,12.5,12.4,12.4
20030,Eibar,7.72,7.69,7.8,7.8,7.8,7.8,7.8,7.21,7.21,8.58,7.11,6.81,6.81,6.81,6.68,9.31,3.55,3.52,3.78
48031,Elantxobe,53.52,53.52,53.52,53.52,53.52,53.52,53.52,53.52,53.52,56.52,56.52,56.52,56.52,20.75,20.75,20.75,20.75,20.75,20.75
01021,Elburgo/Burgelu,6.22,6.22,6.22,6.22,6.22,6.22,12.43,12.43,12.43,12.09,21.89,21.89,21.89,21.89,22.31,22.31,22.5,22.45,22.45
01022,Elciego,13.24,13.24,13.24,13.24,13.24,20.35,20.35,20.35,20.35,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61
20031,Elduain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20033,Elgeta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63
20032,Elgoibar,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,3.35,24.03,24.03,24.03,24.03,24.03,24.24,24.21,65.1,23.58
48032,Elorrio,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.97,6.58,30.64,30.64,30.79,30.79,36.01,21.46,17.63,26.65
01023,Elvillar/Bilar,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.95,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48902,Erandio,14.22,14.34,14.34,14.34,14.34,14.34,14.55,14.74,16.31,15.1,26.15,26.15,26.17,26.17,24.7,24.82,24.94,25.68,25.68
