Indicadores municipales de sostenibilidad: Mujeres candidatas en elecciones municipales (% sobre total personas candidatas);;;;;;;;;;
"";;;;;;;;;;
Resumen de datos;;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995;1991
48071;Muskiz;46,15;49,23;46,15;46,15;44,87;34,85;34,62;28,21;19,23
20057;Mutiloa;42,86;42,86;28,57;50,00;50,00;20,00;20,00;20,00;0,00
20056;Mutriku;49,23;48,08;46,15;49,23;40,00;36,36;23,64;31,82;22,00
48067;Muxika;48,15;40,00;37,04;46,67;42,59;33,33;25,00;18,52;14,29
48909;Nabarniz;28,57;42,86;60,00;60,00;54,55;50,00;40,00;28,57;10,00
01041;Navaridas;11,11;12,50;11,11;27,27;25,00;16,67;18,18;16,67;0,00
20063;Oiartzun;48,24;45,59;48,08;50,00;44,62;36,92;44,62;36,92;23,08
01042;Okondo;55,56;51,11;47,22;48,89;27,78;35,71;25,00;33,33;21,43
20058;Olaberria;52,38;47,62;39,29;35,71;22,86;21,43;32,14;18,52;5,56
48073;Ondarroa;50,00;50,00;49,02;48,08;50,77;38,46;43,53;41,18;36,11
20076;Ordizia;47,06;50,59;47,44;47,25;46,15;22,64;24,62;26,92;26,15
20905;Orendain;60,00;40,00;40,00;46,67;26,67;20,00;20,00;20,00;30,00
20060;Orexa;40,00;40,00;40,00;60,00;0,00;0,00;100,00;0,00;0,00
20061;Orio;53,85;50,00;46,15;46,15;35,82;39,39;32,73;31,82;21,82
20062;Ormaiztegi;44,44;47,22;37,04;48,89;40,00;40,54;37,04;18,52;14,63
48075;Orozko;45,45;47,27;38,18;38,18;38,18;29,55;33,33;36,11;24,44
48083;Ortuella;50,77;48,72;48,72;47,78;47,69;39,39;34,62;30,77;31,87
48072;Otxandio;44,44;48,57;37,84;36,11;42,22;27,78;25,93;14,81;37,78
01043;Oyón-Oion;47,27;45,45;44,64;47,27;38,64;32,73;28,79;27,63;22,08
20059;Oñati;51,47;49,02;50,00;46,22;44,71;31,88;25,00;27,94;25,49
20064;Pasaia;49,02;48,74;47,06;47,06;48,04;34,88;35,29;39,22;30,25
01044;Peñacerrada-Urizaharra;46,43;39,29;33,33;38,10;35,71;35,71;15,38;0,00;0,00
48077;Plentzia;50,00;45,45;50,91;48,48;36,36;34,85;38,64;34,55;25,45
48078;Portugalete;46,03;49,21;47,62;46,03;43,81;24,80;31,20;32,00;31,50
01047;Ribera Baja/Erribera Beitia;47,22;44,44;40,00;18,52;22,22;20,00;21,43;17,86;4,76
01051;Salvatierra/Agurain;50,00;50,77;50,00;46,75;45,45;36,92;40,91;33,77;28,79
01052;Samaniego;42,86;42,86;25,00;38,10;35,71;32,14;28,57;28,57;17,86
01053;San Millán/Donemiliaga;50,00;42,86;50,00;47,62;32,14;32,14;35,71;28,57;21,43
48082;Santurtzi;49,21;53,06;48,98;47,09;50,48;42,86;39,05;32,00;27,50
20070;Segura;51,85;37,04;33,33;44,44;11,11;38,89;33,33;14,81;18,18
48084;Sestao;46,03;50,34;46,26;46,03;46,83;31,75;32,38;28,57;28,57
48904;Sondika;50,00;47,73;50,00;45,45;49,09;40,00;43,64;29,09;14,55
48085;Sopela;47,79;50,00;45,38;45,38;46,22;42,50;38,46;37,18;32,31
48086;Sopuerta;45,45;40,00;39,29;41,56;36,36;25,76;25,76;16,67;18,46
20065;Soraluze-Placencia de las Armas;50,00;50,00;47,73;50,91;37,88;38,64;30,91;43,18;28,12
48076;Sukarrieta;50,00;42,86;35,71;37,14;39,29;28,57;32,14;33,33;25,93
20071;Tolosa;47,06;48,24;44,12;45,38;41,18;32,35;31,37;25,74;31,37
48087;Trucios-Turtzioz;53,57;48,57;42,86;40,00;35,71;25,00;46,43;28,57;28,57
48088;Ubide;53,33;33,33;42,86;35,00;53,33;30,00;0,00;20,00;33,33
48065;Ugao-Miraballes;50,00;47,73;45,45;47,73;51,52;36,36;38,64;40,00;22,73
48089;Urduliz;46,15;47,27;45,45;45,45;36,36;31,03;25,76;31,82;11,11
48074;Urduña/Orduña;49,09;47,73;45,45;48,48;33,82;19,64;32,73;29,09;21,74
01054;Urkabustaiz;52,78;47,22;46,67;33,33;30,56;35,71;34,29;14,29;11,90
20072;Urnieta;50,77;47,69;46,15;48,08;47,69;42,31;36,92;33,33;25,00
20077;Urretxu;48,08;46,15;47,69;47,25;44,87;36,54;30,77;18,46;25,00
20073;Usurbil;51,92;49,23;46,15;50,00;42,39;32,08;40,38;24,62;29,49
01055;Valdegovía/Gaubea;44,44;46,43;42,22;42,22;47,22;35,71;26,19;21,43;3,57
48080;Valle de Trápaga-Trapagaran;48,24;47,06;46,08;45,10;48,04;33,82;40,00;30,39;27,73
20075;Villabona;53,85;50,00;46,15;47,69;47,69;39,62;39,74;30,77;21,54
01057;Villabuena de Álava/Eskuernaga;46,43;35,71;33,33;28,57;38,10;28,57;32,14;28,57;19,05
01059;Vitoria-Gasteiz;49,83;47,97;46,72;47,29;51,03;32,37;37,04;30,69;30,48
01060;Yécora/Iekora;55,56;38,10;42,86;28,57;19,05;21,43;23,81;20,00;14,29
48095;Zaldibar;50,00;47,73;50,91;47,73;27,27;28,26;36,36;28,79;21,82
20078;Zaldibia;55,56;44,44;55,56;36,11;33,33;29,63;37,04;33,33;44,44
01061;Zalduondo;50,00;46,67;33,33;27,27;27,27;33,33;25,00;0,00;0,00
48096;Zalla;49,23;50,77;49,23;47,44;43,08;26,87;29,49;39,74;21,79
01062;Zambrana;38,10;33,33;32,14;21,43;22,86;28,57;46,43;14,29;14,29
48905;Zamudio;48,21;49,09;47,73;49,09;38,18;40,00;34,55;34,55;20,45
48097;Zaratamo;51,11;51,11;40,00;51,11;48,89;40,00;37,04;24,07;25,00
20079;Zarautz;50,48;50,48;47,62;44,44;45,71;39,29;38,24;29,41;26,85
48024;Zeanuri;48,15;52,78;51,85;36,11;41,82;25,00;27,78;18,52;14,81
48025;Zeberio;44,44;55,56;41,67;38,89;40,74;52,38;14,29;14,29;0,00
20025;Zegama;44,44;44,44;36,11;37,78;36,11;22,22;40,74;33,33;17,39
20026;Zerain;42,86;64,29;50,00;20,00;60,00;50,00;0,00;20,00;20,00
20027;Zestoa;48,48;48,48;47,73;48,48;37,88;31,11;27,27;31,82;27,66
48913;Zierbena;44,44;52,78;38,89;31,48;35,19;27,78;24,07;31,48;
01018;Zigoitia;36,11;36,11;48,89;40,00;36,51;42,22;33,33;28,57;25,71
48915;Ziortza-Bolibar;52,38;42,86;42,86;42,86;38,10;;;;
20028;Zizurkil;59,09;60,61;50,00;54,55;49,09;31,43;38,64;43,18;21,82
01063;Zuia;47,27;50,00;47,27;43,94;40,91;35,56;29,63;28,89;24,44
20081;Zumaia;50,00;52,94;50,00;48,72;43,59;36,76;41,54;30,77;26,47
20080;Zumarraga;49,23;49,23;46,15;42,16;42,35;30,88;35,29;23,53;21,50
