Indicadores municipales de sostenibilidad: Mujeres electas en elecciones municipales (% sobre total personas electas);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995
48907;Kortezubi;42,86;42,86;57,14;42,86;42,86;42,86;28,57;14,29
01019;Kripan;40,00;20,00;40,00;40,00;40,00;0,00;0,00;20,00
01020;Kuartango;57,14;57,14;28,57;28,57;57,14;42,86;14,29;42,86
01028;Labastida/Bastida;33,33;33,33;33,33;33,33;22,22;11,11;22,22;22,22
01030;Lagrán;40,00;20,00;20,00;40,00;20,00;40,00;40,00;20,00
01031;Laguardia;33,33;44,44;11,11;22,22;22,22;11,11;22,22;11,11
01032;Lanciego/Lantziego;42,86;57,14;28,57;14,29;14,29;28,57;14,29;14,29
48051;Lanestosa;57,14;57,14;42,86;0,00;0,00;0,00;0,00;14,29
01902;Lantarón;42,86;42,86;57,14;28,57;28,57;14,29;14,29;0,00
01033;Lapuebla de Labarca;42,86;28,57;28,57;0,00;0,00;28,57;0,00;14,29
48052;Larrabetzu;54,55;54,55;63,64;55,56;44,44;55,56;44,44;22,22
20048;Larraul;42,86;42,86;14,29;0,00;20,00;20,00;20,00;20,00
20902;Lasarte-Oria;47,06;47,06;41,18;47,06;41,18;35,29;35,29;23,53
01036;Laudio/Llodio;52,94;47,06;47,06;35,29;41,18;35,29;23,53;28,57
48053;Laukiz;55,56;44,44;44,44;33,33;28,57;11,11;0,00;0,00
20049;Lazkao;46,15;46,15;38,46;38,46;30,77;15,38;18,18;9,09
20050;Leaburu;28,57;14,29;57,14;42,86;28,57;42,86;57,14;57,14
20051;Legazpi;38,46;46,15;30,77;46,15;23,08;23,08;16,67;15,38
20052;Legorreta;66,67;77,78;66,67;66,67;33,33;33,33;44,44;22,22
01058;Legutio;63,64;0,00;44,44;33,33;33,33;33,33;22,22;11,11
20068;Leintz-Gatzaga;80,00;20,00;20,00;14,29;28,57;20,00;42,86;20,00
48054;Leioa;38,10;38,10;42,86;42,86;38,10;33,33;19,05;23,81
48057;Lekeitio;46,15;46,15;38,46;46,15;38,46;30,77;30,77;38,46
48055;Lemoa;45,45;36,36;45,45;36,36;27,27;27,27;18,18;27,27
48056;Lemoiz;44,44;33,33;33,33;33,33;42,86;28,57;28,57;14,29
01034;Leza;60,00;40,00;80,00;40,00;20,00;0,00;20,00;0,00
48081;Lezama;27,27;45,45;36,36;72,73;36,36;27,27;27,27;27,27
20053;Lezo;38,46;38,46;38,46;46,15;38,46;38,46;46,15;53,85
20054;Lizartza;57,14;28,57;42,86;57,14;28,57;28,57;42,86;14,29
48903;Loiu;54,55;45,45;45,45;36,36;45,45;36,36;33,33;22,22
48058;Mallabia;55,56;44,44;44,44;33,33;44,44;44,44;33,33;11,11
48060;Markina-Xemein;53,85;45,45;45,45;45,45;27,27;9,09;36,36;36,36
48061;Maruri-Jatabe;55,56;28,57;42,86;42,86;28,57;57,14;14,29;14,29
48059;Mañaria;42,86;57,14;28,57;42,86;14,29;0,00;28,57;14,29
20901;Mendaro;55,56;63,64;44,44;44,44;44,44;44,44;11,11;22,22
48062;Mendata;57,14;42,86;42,86;57,14;42,86;42,86;42,86;28,57
48063;Mendexa;28,57;14,29;28,57;42,86;42,86;14,29;28,57;0,00
48064;Meñaka;42,86;57,14;57,14;71,43;57,14;28,57;0,00;28,57
01039;Moreda de Álava / Moreda Araba;20,00;20,00;60,00;40,00;28,57;42,86;28,57;42,86
48066;Morga;85,71;85,71;57,14;42,86;28,57;14,29;28,57;42,86
48068;Mundaka;33,33;44,44;44,44;33,33;33,33;44,44;33,33;33,33
48069;Mungia;52,94;52,94;41,18;41,18;29,41;29,41;23,53;11,76
48007;Munitibar-Arbatzegi Gerrikaitz-;28,57;28,57;28,57;57,14;14,29;28,57;28,57;28,57
48908;Murueta;42,86;57,14;57,14;28,57;28,57;0,00;0,00;0,00
48071;Muskiz;46,15;38,46;30,77;38,46;30,77;23,08;30,77;15,38
20057;Mutiloa;42,86;42,86;28,57;40,00;20,00;20,00;20,00;20,00
20056;Mutriku;38,46;46,15;53,85;38,46;36,36;36,36;27,27;18,18
48067;Muxika;33,33;55,56;33,33;11,11;33,33;33,33;22,22;22,22
48909;Nabarniz;28,57;28,57;40,00;80,00;80,00;60,00;40,00;28,57
01041;Navaridas;0,00;0,00;0,00;40,00;20,00;20,00;0,00;0,00
20063;Oiartzun;52,94;47,06;38,46;46,15;38,46;15,38;23,08;15,38
01042;Okondo;33,33;44,44;44,44;22,22;11,11;14,29;28,57;14,29
